sope	sope	n1	soap	soap	0
,	,	,	,	,	0
med	med	vvn	med	m	0
.	.	.	.	.	1
17.	17.	crd	17.	17.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
custome	custome	n1	custom	custom	0
in	in	p-acp	in	in	0
Anna	Anna	np1	Anna	Anna	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
10	10	crd	10	10	0
per	per	fw-la	per	per	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
med	med	vvn	med	m	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	0
per	per	fw-la	per	per	0
somme	somme	fw-fr	somme	somme	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
4	4	crd	4	4	0
dishes	dishes	n2	dishes	dish	0
of	of	pp-f	of	of	0
raisins	raisins	n2	raisins	raisin	0
,	,	,	,	,	0
and	and	cc	and	and	0
20	20	crd	20	20	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
sope	sope	n1	soap	soap	0
,	,	,	,	,	0
med	med	vvn	med	m	0
.	.	.	.	.	1
35.	35.	crd	35.	35.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
custome	custome	n1	custom	custom	0
in	in	p-acp	in	in	0
Adite	Adite	n1	Adite	adite	0
,	,	,	,	,	0
medines	medines	n1	medines	medines	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
10	10	crd	10	10	0
per	per	fw-la	per	per	0
barke	barke	n1	bark	bark	0
,	,	,	,	,	0
med	med	vvn	med	m	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	0
per	per	fw-la	per	per	0
barke	barke	n1	bark	bark	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
2	2	crd	2	2	0
dishes	dishes	n2	dishes	dish	0
raisins	raisins	n2	raisins	raisin	0
,	,	,	,	,	0
and	and	cc	and	and	0
10	10	crd	10	10	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
sope	sope	n1	soap	soap	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
custome	custome	n1	custom	custom	0
at	at	p-acp	at	at	0
Gweke	Gweke	n1	Gweke	gweke	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
2	2	crd	2	2	0
dishes	dishes	n2	dishes	dish	0
raisins	raisins	n2	raisins	raisin	0
,	,	,	,	,	0
and	and	cc	and	and	0
20	20	crd	20	20	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
sope	sope	n1	soap	soap	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
custome	custome	n1	custom	custom	0
in	in	p-acp	in	in	0
1st	1st	ord	1st	first	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
4	4	crd	4	4	0
platters	platters	n2	platters	platter	0
raisins	raisins	n2	raisins	raisin	0
,	,	,	,	,	0
and	and	cc	and	and	0
20	20	crd	20	20	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
sope	sope	n1	soap	soap	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Charges	Charges	n2	Charges	charge	0
of	of	pp-f	of	of	0
presents	presents	n2	presents	present	0
at	at	p-acp	at	at	0
Felugia	Felugia	np1	Felugia	Felugia	0
,	,	,	,	,	0
For	For	c-acp	For	for	0
camels	camels	n2	camels	camel	0
from	from	p-acp	from	from	0
Felugia	Felugia	np1	Felugia	Felugia	0
to	to	p-acp	to	to	0
Babylon	Babylon	np1	Babylon	Babylon	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
custome	custome	n1	custom	custom	0
in	in	p-acp	in	in	0
Babylon	Babylon	np1	Babylon	Babylon	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
