.	.	.	.	.	1
Richard	Richard	np1	Richard	Richard	0
Poore	Poore	j	Poor	poor	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
3T7	3T7	np1	3T7	3T7	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Michael	Michael	np1	Michael	Michael	0
Polison	Polison	np1	Polison	Polison	0
.	.	.	.	.	1
John	John	np1	John	John	0
Cage	Cage	n1	Cage	cage	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thomas	Thomas	np1	Thomas	Thomas	0
Parre	Parre	np1	Parre	Parre	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
William	William	np1	William	William	0
Randes	Randes	zz	Randes	randes	0
.	.	.	.	.	1
Gefferey	Gefferey	np1	Gefferey	Geoffrey	0
Churchman	Churchman	n1	Churchman	churchman	0
.	.	.	.	.	1
William	William	np1	William	William	0
Farthow	Farthow	np1	Farthow	Farthow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Taylor	Taylor	np1	Taylor	Taylor	0
.	.	.	.	.	1
Philip	Philip	np1	Philip	Philip	0
Robyns	Robyns	npg1	Robyns	robyns	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Philips	Philips	vvz	Philips	fillip	0
.	.	.	.	.	1
Valentine	Valentine	np1	Valentine	Valentine	0
Beale	Beale	np1	Beale	Beale	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Foxe	Foxe	n1	Fox	fox	0
.	.	.	.	.	1
Darby	Darby	np1	Darby	Derby	0
Glande	Glande	np1	Glande	Glande	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Nugen	Nugen	np1	Nugen	Nugen	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Kelley	Kelley	np1	Kelley	Kelley	0
.	.	.	.	.	1
John	John	np1	John	John	0
Gostigo	Gostigo	np1	Gostigo	Gostigo	0
.	.	.	.	.	1
Erasmus	Erasmus	np1	Erasmus	Erasmus	0
Clefs	Clefs	np1	Clefs	Clefs	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Ketcheman	Ketcheman	n1	Ketcheman	ketcheman	0
.	.	.	.	.	1
John	John	np1	John	John	0
Linsey	Linsey	np1	Linsey	Linsey	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thomas	Thomas	np1	Thomas	Thomas	0
Rottenbury	Rottenbury	np1	Rottenbury	Rottenbury	0
.	.	.	.	.	1
Roger	Roger	np1	Roger	Roger	0
Deane	Deane	np1	Deane	Deane	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Harris	Harris	np1	Harris	Harris	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Francis	Francis	np1	Francis	Francis	0
Norris	Norris	np1	Norris	Norris	0
.	.	.	.	.	1
Matthew	Matthew	np1	Matthew	Matthew	0
Lyne	Lyne	n1	Line	line	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Kettell	Kettell	np1	Kettell	Kettell	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Wisse	Wisse	vvb	Wiss	wiss	0
.	.	.	.	.	1
Robert	Robert	np1	Robert	Robert	0
Biscombe	Biscombe	np1	Biscombe	Biscombe	0
.	.	.	.	.	1
William	William	np1	William	William	0
Backhouse	Backhouse	np1	Backhouse	Backhouse	0
.	.	.	.	.	1
William	William	np1	William	William	0
White	White	j-jn	White	white	0
.	.	.	.	.	1
Henry	Henry	np1	Henry	Henry	0
Potkin	Potkin	np1	Potkin	Potkin	0
.	.	.	.	.	1
Dennis	Dennis	np1	Dennis	Dennis	0
Barnes	Barnes	np1	Barnes	Barnes	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Joseph	Joseph	np1	Joseph	Joseph	0
Borges	Borges	np1	Borges	Borges	0
.	.	.	.	.	1
Dougham	Dougham	np1	Dougham	Dougham	0
Gannes	Gannes	np1	Gannes	Gannes	0
.	.	.	.	.	1
William	William	np1	William	William	0
Tenche	Tenche	np1	Tenche	Tenche	0
.	.	.	.	.	1
Randall	Randall	np1	Randall	Randall	0
Latham	Latham	np1	Latham	Latham	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Hulme	Hulme	np1	Hulme	Hulme	0
.	.	.	.	.	1
Walter	Walter	np1	Walter	Walter	0
Mill.	Mill.	n1	Mill.	mill	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Robert	Robert	np1	Robert	Robert	0
Yong.	Yong.	np1	Yong.	Yong.	0
Marmaduke	Marmaduke	np1	Marmaduke	Marmaduke	0
Constable	Constable	n1	Constable	constable	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Hesket	Hesket	n1	Hesket	hesket	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
William	William	np1	William	William	0
Wasse	Wasse	uh	Wasse	wasse	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Fever	Fever	n1	Fever	fever	0
.	.	.	.	.	1
Daniel	Daniel	np1	Daniel	Daniel	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thomas	Thomas	np1	Thomas	Thomas	0
Taylor	Taylor	np1	Taylor	Taylor	0
.	.	.	.	.	1
Richard	Richard	np1	Richard	Richard	0
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
.	.	.	.	.	1
John	John	np1	John	John	0
Wright	Wright	np1	Wright	Wright	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Gabriel	Gabriel	np1	Gabriel	Gabriel	0
North	North	n1	North	north	0
.	.	.	.	.	1
Bennet	Bennet	np1	Bennet	Bennet	0
Chappell	Chappell	n1	Chapel	chapel	0
.	.	.	.	.	1
Richard	Richard	np1	Richard	Richard	0
Sare	Sare	zz	Sare	sare	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
James	James	np1	James	James	0
Lacie	Lacie	np1	Lacie	Lacie	0
.	.	.	.	.	1
Smolkin	Smolkin	np1	Smolkin	Smolkin	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thomas	Thomas	np1	Thomas	Thomas	0
Smart	Smart	n1	Smart	smart	0
.	.	.	.	.	1
Robert	Robert	np1	Robert	Robert	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Evans	Evans	np1	Evans	Evans	0
.	.	.	.	.	1
Roger	Roger	np1	Roger	Roger	0
Large	Large	j	Large	large	0
.	.	.	.	.	1
Humfrey	Humfrey	np1	Humfrey	Humphrey	0
Garden	Garden	n1	Garden	garden	0
.	.	.	.	.	1
Francis	Francis	np1	Francis	Francis	0
Whitton	Whitton	np1	Whitton	Whitton	0
