id,nat
07_17_000,0
07_17_001,0
07_17_002,0
07_17_003,0
07_17_004,0
07_18_000,0
07_19_000,0
07_19_001,0
07_19_002,0
07_19_003,0
07_19_004,0
07_20_000,0
07_20_001,0
07_21_000,0
07_21_001,0
07_21_002,0
07_21_003,0
07_21_004,0
07_21_005,0
07_22_000,0
07_23_000,0
07_23_001,0
07_23_002,0
07_23_003,1
07_23_004,1
07_23_005,0
07_23_006,0
07_23_007,0
07_23_008,0
07_23_009,0
07_23_010,0
07_23_011,0
07_23_012,0
07_23_013,0
07_23_014,0
07_23_015,0
07_23_016,0
07_23_017,0
07_23_018,0
07_23_019,0
07_23_020,0
07_23_021,0
07_23_022,0
07_23_023,0
07_23_024,0
07_23_025,0
07_23_026,0
07_23_027,0
07_23_028,1
07_23_029,0
07_24_000,0
07_25_000,0
07_25_001,0
07_25_002,0
07_25_003,0
07_26_000,0
07_26_001,1
07_26_002,0
07_26_003,0
07_26_004,0
07_26_005,0
07_26_006,0
07_26_007,0
07_26_008,0
07_26_009,0
07_26_010,0
07_26_011,1
07_26_012,0
07_26_013,0
07_26_014,0
07_26_015,0
07_26_016,0
07_26_017,0
07_26_018,0
07_26_019,0
07_26_020,0
07_26_021,0
07_26_022,1
07_26_023,0
07_26_024,0
07_26_025,0
07_26_026,0
07_26_027,0
07_26_028,0
07_26_029,0
07_26_030,0
07_26_031,0
07_26_032,0
07_26_033,0
07_26_034,0
07_26_035,0
07_26_036,0
07_26_037,0
07_26_038,0
07_26_039,0
07_26_040,0
07_26_041,0
07_26_042,0
07_26_043,0
07_26_044,1
07_26_045,1
07_26_046,1
07_26_047,1
07_26_048,0
07_26_049,1
07_26_050,0
07_26_051,1
07_26_052,1
07_26_053,1
07_26_054,1
07_26_055,0
07_26_056,1
07_26_057,0
07_26_058,0
07_26_059,0
07_26_060,0
07_26_061,0
07_26_062,0
07_26_063,1
07_26_064,1
07_26_065,1
07_26_066,0
07_26_067,1
07_26_068,0
07_26_069,0
07_26_070,0
07_26_071,0
07_26_072,0
07_26_073,1
07_26_074,0
07_26_075,0
07_26_076,0
07_26_077,0
07_26_078,0
07_26_079,0
07_26_080,0
07_26_081,0
07_26_082,0
07_26_083,0
07_26_084,0
07_26_085,0
07_26_086,0
07_26_087,0
07_26_088,0
07_26_089,0
07_26_090,0
07_26_091,1
07_26_092,1
07_26_093,0
07_26_094,0
07_26_095,1
07_26_096,0
07_26_097,0
07_26_098,0
07_26_099,0
07_26_100,0
07_26_101,0
07_26_102,0
07_26_103,0
07_26_104,0
07_26_105,0
07_26_106,0
07_26_107,0
07_26_108,0
07_26_109,0
07_26_110,0
07_26_111,0
07_26_112,0
07_26_113,0
07_26_114,0
07_26_115,0
07_26_116,0
07_26_117,0
07_26_118,0
07_26_119,1
07_26_120,0
07_26_121,0
07_26_122,0
07_26_123,0
07_26_124,0
07_26_125,0
07_26_126,0
07_26_127,0
07_26_128,0
07_26_129,0
07_26_130,0
07_26_131,0
07_26_132,0
07_26_133,0
07_26_134,0
07_26_135,0
07_26_136,0
07_26_137,0
07_26_138,0
07_26_139,0
07_26_140,1
07_26_141,0
07_26_142,0
07_26_143,0
07_26_144,0
07_26_145,0
07_26_146,0
07_26_147,0
07_27_000,0
07_27_001,0
07_27_002,0
07_27_003,0
07_27_004,0
07_27_005,0
07_27_006,0
07_27_007,0
07_27_008,0
07_27_009,0
07_27_010,0
07_27_011,0
