id,violcount
07_43_22,0.5
07_43_3,3.5
07_43_4,7
07_43_5,3
07_43_6,7.5
07_43_7,7.0
07_43_8,0.5
07_43_9,1.5
07_44_0,1
07_44_1,2.5
08_01_0,1
08_02_0,0
08_02_1,1.5
08_02_2,6.0
08_02_3,5.0
08_02_4,1.5
08_03_0,2.0
08_04_0,1
08_04_1,2.5
08_04_2,0
08_04_3,1.5
08_04_4,1.5
08_04_5,3.0
08_04_6,1.5
08_04_7,1.0
08_05_0,0
08_05_1,1
08_05_2,3.0
08_05_3,2
08_05_4,2.5
08_05_5,1.5
08_05_6,2
08_06_0,0
08_07_0,1
08_07_1,0.5
08_07_2,2
08_07_3,2
08_07_4,0
08_07_5,2.0
08_07_6,0
08_07_7,2.5
08_07_8,1
08_07_9,3.5
08_08_0,5.0
08_08_1,2.5
08_08_10,0
08_08_11,1.0
08_08_12,0.5
08_08_2,0.5
08_08_3,0
08_08_4,0
08_08_5,0
08_08_6,0.5
08_08_7,6.0
08_08_8,1.5
08_08_9,1.0
08_09_0,1.5
08_09_1,1
08_09_2,1
08_09_3,1
08_09_4,1.5
08_09_5,1.0
08_09_6,1.0
08_09_7,1.5
08_09_8,0
08_10_0,0
08_11_0,3.5
08_11_1,4.0
08_11_10,3.5
08_11_11,1.5
08_11_12,3.0
08_11_13,0.5
08_11_2,2.5
08_11_3,3.5
08_11_4,2.0
08_11_5,1
08_11_6,3
08_11_7,1
08_11_8,1.0
08_11_9,2
08_12_0,0
08_12_1,1.0
08_12_2,5.0
08_12_3,0
08_13_0,3.0
08_13_1,0.5
08_13_2,1.0
08_13_3,2
08_14_0,0
08_14_1,3
08_14_10,4
08_14_11,4.0
08_14_12,5.0
08_14_13,8.5
08_14_14,0
08_14_15,11.0
08_14_16,5.5
08_14_17,4
08_14_18,4.5
08_14_19,5.5
08_14_2,0.5
08_14_20,3
08_14_21,1
08_14_22,0.5
08_14_23,2.0
08_14_24,0.5
08_14_25,0
08_14_26,2.0
08_14_27,1.0
08_14_28,0
08_14_29,0
08_14_3,1.5
08_14_30,2.0
08_14_31,0
08_14_32,0
08_14_33,1
08_14_34,4.0
08_14_35,6.0
08_14_36,3
08_14_37,1
08_14_38,5.5
08_14_39,8.5
08_14_4,2.5
08_14_40,3.5
08_14_41,4
08_14_42,1
08_14_43,0
08_14_44,4.0
08_14_45,1.5
08_14_46,1.5
08_14_5,0
08_14_6,0
08_14_7,3.5
08_14_8,0.5
08_14_9,3
08_15_0,0
08_16_0,0
08_17_0,0
08_18_0,2.0
08_18_1,2.5
08_18_10,1
08_18_11,0
08_18_12,1.0
08_18_13,0
08_18_2,2.5
08_18_3,0.5
08_18_4,0
08_18_5,0
08_18_6,0
08_18_7,2.0
08_18_8,0.5
08_18_9,1.0
08_19_0,2.5
08_19_1,3.0
08_20_0,1
08_20_1,1
08_20_2,2.5
08_20_3,0.5
08_20_4,2
08_21_0,1
08_22_0,6.5
08_23_0,2
08_23_1,5.5
08_23_2,9.0
08_23_3,3.5
08_24_0,1
08_25_0,0
08_25_1,5.0
08_25_2,2
08_26_0,1.5
08_26_1,0
08_26_10,3
08_26_11,3.5
08_26_12,4.5
08_26_13,12
08_26_14,16.5
08_26_15,5.5
08_26_16,4.0
08_26_2,4.0
08_26_3,6.0
08_26_4,10.0
08_26_5,2
08_26_6,2.5
08_26_7,2
08_26_8,1.5
08_26_9,1.0
08_27_0,1
08_28_0,0.5
08_28_1,0.5
08_28_10,1
08_28_11,0
08_28_12,1.5
08_28_13,1.5
08_28_14,0.5
08_28_15,3.5
08_28_16,4.0
08_28_17,0.5
08_28_18,3.5
08_28_19,1.0
08_28_2,0
08_28_20,0.5
08_28_21,0
08_28_22,1.0
08_28_23,2
08_28_24,2.0
08_28_25,0
08_28_26,0.5
08_28_27,0.5
08_28_28,0
08_28_3,0
08_28_4,0
08_28_5,0
08_28_6,0
08_28_7,2
08_28_8,0
08_28_9,0
08_29_0,3.5
08_30_0,1
08_30_1,0
08_30_10,0.5
08_30_11,0
08_30_12,0.5
08_30_13,0
08_30_14,1.5
08_30_15,0
08_30_16,0
08_30_17,12.5
08_30_18,0
08_30_19,0.5
08_30_2,1
08_30_20,0
08_30_21,0
08_30_22,0
08_30_23,3.0
08_30_24,2.5
08_30_25,2.0
08_30_26,2.5
08_30_27,9.5
08_30_28,0
08_30_29,1
08_30_3,0
08_30_30,1.0
08_30_31,0
08_30_32,3.0
08_30_33,2.0
08_30_34,7.0
08_30_35,1.5
08_30_36,1.5
08_30_37,5.0
08_30_38,0
08_30_39,0.5
08_30_4,0
08_30_40,0
08_30_41,0
08_30_42,4.5
08_30_43,2.5
08_30_44,4.5
08_30_45,1.0
08_30_46,2.0
08_30_47,1.5
08_30_48,0.5
08_30_49,0
08_30_5,0
08_30_50,2
08_30_51,1.0
08_30_52,3.0
08_30_53,3.5
08_30_54,1.0
08_30_55,1.0
08_30_56,0.5
08_30_57,0
08_30_58,0
08_30_59,4.0
08_30_6,0.5
08_30_7,0
08_30_8,0
08_30_9,1
08_31_0,1.5
08_31_1,5.5
08_31_2,1.5
08_31_3,2.0
08_32_0,1.5
08_32_1,3.5
08_33_0,2.5
08_33_1,1
08_33_2,3.0
08_34_0,0
08_35_0,0
08_36_0,1
08_36_1,1.5
08_36_10,0
08_36_2,0.5
08_36_3,0
08_36_4,1
08_36_5,1
08_36_6,0
08_36_7,0
08_36_8,2.0
08_36_9,1.5
08_37_0,0.5
08_37_1,4.5
08_37_2,2.0
08_37_3,4.0
08_38_0,1
08_39_0,2.0
08_40_0,0
08_40_1,0.5
08_40_2,2.5
08_40_3,2.5
08_40_4,2.5
08_40_5,1.0
08_40_6,2.5
08_40_7,1.5
08_41_0,1.5
08_41_1,2
08_41_10,5.0
08_41_11,0
08_41_12,14.0
08_41_13,6
08_41_14,0
08_41_2,3.5
08_41_3,3.5
08_41_4,6
08_41_5,6.5
08_41_6,3.5
08_41_7,9.0
08_41_8,2
08_41_9,3.5
08_42_0,2.0
08_42_1,4.5
08_42_2,5.5
08_42_3,1
08_42_4,3.5
08_42_5,2.5
08_42_6,2.5
08_43_0,0
08_44_0,0.5
08_45_0,1.5
08_45_1,1
08_45_10,3.5
08_45_11,8.0
08_45_12,1.0
08_45_13,0.5
08_45_14,1.0
08_45_15,3.5
08_45_16,5
08_45_17,3.5
08_45_18,1.5
08_45_19,1.5
08_45_2,2.5
08_45_20,5.5
08_45_21,0
08_45_22,6.5
08_45_23,4.5
08_45_24,6
08_45_25,1
08_45_26,2
08_45_27,0.5
08_45_28,0
08_45_3,0
08_45_4,2
08_45_5,1.0
08_45_6,2
08_45_7,2.5
08_45_8,0
08_45_9,3
08_46_0,1.0
08_46_1,3.5
08_47_0,0.5
08_47_1,0
08_47_10,0
08_47_11,0
08_47_12,2.5
08_47_13,2
08_47_14,0.5
08_47_15,0.5
08_47_16,2.0
08_47_17,0.5
08_47_18,5.0
08_47_19,0.5
08_47_2,1
08_47_20,2.5
08_47_21,6
08_47_22,1
08_47_23,2
08_47_24,2.0
08_47_25,0.5
08_47_26,2.5
08_47_3,0
08_47_4,1
08_47_5,0.5
08_47_6,1
08_47_7,0.5
08_47_8,4.0
08_47_9,2.5
08_48_0,5.0
08_48_1,9.5
08_48_10,0
08_48_11,0.5
08_48_12,0
08_48_2,0.5
08_48_3,2
08_48_4,7.5
08_48_5,2.5
08_48_6,2.5
08_48_7,7.0
08_48_8,8.5
08_48_9,1
08_49_0,1.5
08_49_1,3
08_49_10,6.5
08_49_11,4
08_49_12,3.5
08_49_13,1.5
08_49_14,3.5
08_49_15,4.5
08_49_16,3.5
08_49_2,3
08_49_3,0.5
08_49_4,0
08_49_5,2.0
08_49_6,6.0
08_49_7,12.0
08_49_8,4
08_49_9,21.5
08_50_0,1.0
08_51_0,1.0
08_51_1,1.0
08_52_0,3.5
08_52_1,6.0
08_52_10,6.0
08_52_11,0.5
08_52_12,4.0
08_52_13,1.0
08_52_14,1.5
08_52_15,9.0
08_52_16,5.0
08_52_17,2.5
08_52_2,1.5
08_52_3,5
08_52_4,7.0
08_52_5,2
08_52_6,1.5
08_52_7,1.5
08_52_8,3
08_52_9,4.5
08_53_0,3.0
08_53_1,1.5
08_53_10,1.0
08_53_11,0.5
08_53_12,5.5
08_53_13,2.5
08_53_14,0.5
08_53_15,3.0
08_53_16,0.5
08_53_2,1.0
08_53_3,0.5
08_53_4,3.5
08_53_5,5.0
08_53_6,2.0
08_53_7,2.5
08_53_8,0
08_53_9,1.5
08_54_0,1
08_54_1,3.0
08_54_2,1
08_54_3,1
08_54_4,1
08_54_5,5.0
08_54_6,1
08_55_0,3.5
08_55_1,8.5
08_56_0,0
08_56_1,0
08_56_2,0
08_56_3,2.5
08_56_4,6.5
08_56_5,10.5
08_56_6,11.0
08_56_7,6.5
08_56_8,5.5
08_56_9,2.5
08_57_0,2.5
08_57_1,2.0
08_57_10,0
08_57_11,2.0
08_57_12,1.5
08_57_2,1.5
08_57_3,0
08_57_4,0
08_57_5,2
08_57_6,1
08_57_7,2
08_57_8,3
08_57_9,0.5
08_58_0,0
08_58_1,0
08_58_10,1.0
08_58_11,1.5
08_58_12,7.0
08_58_13,3.0
08_58_14,1.5
08_58_15,6.0
08_58_16,10.0
08_58_17,2.5
08_58_18,4.5
08_58_2,2.5
08_58_3,5.5
08_58_4,6.0
08_58_5,2.5
08_58_6,2.5
08_58_7,2.5
08_58_8,0.5
08_58_9,4
09_01_0,5.5
09_01_1,4.0
09_01_10,0
09_01_11,2.0
