id,violcount
02_25_8,2.5
02_25_9,1
02_26_0,1
02_26_1,0
02_26_10,0
02_26_11,2.0
02_26_12,2.5
02_26_2,2
02_26_3,0.5
02_26_4,0.5
02_26_5,1.0
02_26_6,2.5
02_26_7,0.5
02_26_8,1.0
02_26_9,1.0
02_27_0,1
02_27_1,4.5
02_27_2,0.5
02_27_3,0
02_27_4,0
02_28_0,1.5
02_28_1,1.0
02_28_10,1
02_28_11,0
02_28_12,0
02_28_13,0
02_28_14,1
02_28_15,0
02_28_16,0
02_28_17,0
02_28_18,0.5
02_28_19,0
02_28_2,0
02_28_3,0
02_28_4,0
02_28_5,0
02_28_6,1
02_28_7,0.5
02_28_8,0
02_28_9,3
02_29_0,1
02_29_1,5
02_29_10,1.5
02_29_11,0
02_29_12,3
02_29_2,7.0
02_29_3,7.5
02_29_4,16.5
02_29_5,3
02_29_6,6
02_29_7,2
02_29_8,1
02_29_9,3
02_30_0,2.0
02_30_1,0.5
02_30_10,0
02_30_11,2.0
02_30_2,0.5
02_30_3,3.5
02_30_4,9.0
02_30_5,0.5
02_30_6,3.5
02_30_7,1.5
02_30_8,0
02_30_9,5.0
02_31_0,0
02_32_0,0
02_32_1,0
02_32_2,0
02_33_0,1.5
02_34_0,4.0
02_35_0,3.5
02_36_0,1.5
02_36_1,3.0
02_36_2,0.5
02_36_3,0
02_36_4,1
02_36_5,2
02_36_6,0.5
02_36_7,0
02_36_8,0
02_37_0,0
02_37_1,0
02_37_10,4
02_37_11,6.5
02_37_12,8.0
02_37_13,9.0
02_37_14,1
02_37_15,0.5
02_37_16,0.5
02_37_2,2.0
02_37_3,1.5
02_37_4,0
02_37_5,2.5
02_37_6,2.5
02_37_7,9.0
02_37_8,9.5
02_37_9,2
02_38_0,0
02_38_1,1.0
02_38_10,0
02_38_11,0
02_38_12,0.5
02_38_13,2.0
02_38_14,0.5
02_38_15,1
02_38_16,3.5
02_38_17,1
02_38_18,0.5
02_38_19,0
02_38_2,4.0
02_38_20,2.0
02_38_21,7.5
02_38_22,9.0
02_38_23,8.0
02_38_24,4.5
02_38_25,2
02_38_26,0
02_38_27,3
02_38_28,9
02_38_29,8.5
02_38_3,1
02_38_30,2
02_38_31,0
02_38_32,1.5
02_38_33,3.0
02_38_34,4.5
02_38_4,2.0
02_38_5,0.5
02_38_6,4.5
02_38_7,1
02_38_8,1.5
02_38_9,3.5
02_39_0,0
02_39_1,2.5
02_40_0,1.0
02_40_1,0
02_40_2,0
02_40_3,0.5
02_40_4,1.0
02_40_5,1.5
02_41_0,0
02_41_1,0
02_42_0,1.0
02_42_1,0.5
02_42_2,1.5
02_42_3,1.0
02_42_4,1.0
02_42_5,1.5
02_42_6,0
02_42_7,1.5
02_42_8,3.5
02_42_9,0
02_43_0,0.5
02_44_0,0.5
02_44_1,0
02_44_2,1
02_44_3,1
02_44_4,0.5
02_44_5,0
02_44_6,0
02_45_0,1.5
02_45_1,0
02_45_2,1
02_45_3,7.0
02_45_4,5.0
02_45_5,1.5
02_46_0,0.5
02_46_1,0
02_46_10,1.5
02_46_11,1
02_46_12,0.5
02_46_13,3.5
02_46_2,1.0
02_46_3,1
02_46_4,0
02_46_5,0
02_46_6,2.0
02_46_7,2.5
