A	A	dt	A	a	0
Banda	Banda	np1	Banda	Banda	0
.	.	.	.	.	1
Sal	Sal	np1	Sal	Sal	0
Armoniacke	Armoniacke	np1	Armoniacke	Armoniacke	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Zindi	Zindi	np1	Zindi	Zindi	0
and	and	cc	and	and	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
.	.	.	.	.	1
Zedoari	Zedoari	np1	Zedoari	Zedoari	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
divers	divers	j	diverse	diverse	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
India	India	np1	India	India	0
.	.	.	.	.	1
Cubeb	Cubeb	np1	Cubeb	Cubeb	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
China	China	np1	China	China	0
.	.	.	.	.	1
Amomum	Amomum	np1	Amomum	Amomum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
China	China	np1	China	China	0
.	.	.	.	.	1
Camphora	Camphora	np1	Camphora	Camphora	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Brimeo	Brimeo	np1	Brimeo	Brimeo	0
neere	neere	av-j	near	near	0
to	to	p-acp	to	to	0
China	China	np1	China	China	0
.	.	.	.	.	1
Myrrha	Myrrha	np1	Myrrha	Myrrah	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Arabia	Arabia	np1	Arabia	Arabia	0
Felix	Felix	np1	Felix	Felix	0
.	.	.	.	.	1
Costo	Costo	np1	Costo	Costo	0
dulce	dulce	fw-la	dulce	dulce	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Zindi	Zindi	np1	Zindi	Zindi	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
.	.	.	.	.	1
Borazo	Borazo	np1	Borazo	Borazo	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lahor	Lahor	n1	Lahor	lahor	0
.	.	.	.	.	1
Asa	Asa	np1	Asa	Asa	0
fetida	fetida	fw-la	fetida	fetida	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Lahor	Lahor	n1	Lahor	lahor	0
.	.	.	.	.	1
Waxe	Waxe	vvb	Wax	wax	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Bengala	Bengala	np1	Bengala	Bengala	0
.	.	.	.	.	1
Seragni	Seragni	np1	Seragni	Seragni	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Cassia	Cassia	np1	Cassia	Cassia	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
Gran	Gran	zf	Gran	grand	0
Cayro	Cayro	np1	Cayro	Cayro	0
.	.	.	.	.	1
Storax	Storax	n1	Storax	storax	0
calamita	calamita	fw-la	calamita	calamita	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Aneda	Aneda	np1	Aneda	Aneda	0
,	,	,	,	,	0
and	and	cc	and	and	0
Canemarie	Canemarie	vvi	Canemarie	canemarie	0
within	within	p-acp	within	within	0
Caramania	Caramania	np1	Caramania	Caramania	0
.	.	.	.	.	1
Storax	Storax	n1	Storax	storax	0
liquida	liquida	fw-la	liquida	liquida	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
.	.	.	.	.	1
Tutia	Tutia	np1	Tutia	Tutia	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Cagiers	Cagiers	np1	Cagiers	Cagiers	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Malabar	Malabar	np1	Malabar	Malabar	0
,	,	,	,	,	0
and	and	cc	and	and	0
