A	A	dt	A	a	0
.	.	.	.	.	1
26	26	crd	26	26	0
Calamus	Calamus	fw-la	Calamus	calamus	0
Aromaticus	Aromaticus	np1	Aromaticus	Aromaticus	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
.	.	.	.	.	1
Capari	Capari	np1	Capari	Capari	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
.	.	.	.	.	1
Dates	Dates	n2	Dates	date	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Arabia	Arabia	np1	Arabia	Arabia	0
felix	felix	fw-la	felix	felix	0
,	,	,	,	,	0
and	and	cc	and	and	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
.	.	.	.	.	1
Dictamnum	Dictamnum	np1	Dictamnum	Dictamnum	0
album	album	fw-la	album	album	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Lombardia	Lombardia	np1	Lombardia	Lombardia	0
.	.	.	.	.	1
Draganti	Draganti	np1	Draganti	Draganti	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Morea	Morea	np1	Morea	Morea	0
.	.	.	.	.	1
Euphorbium	Euphorbium	np1	Euphorbium	Euphorbium	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Barbaria	Barbaria	np1	Barbaria	Barbaria	0
.	.	.	.	.	1
Epithymum	Epithymum	np1	Epithymum	Epithymum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Candia	Candia	np1	Candia	Candia	0
.	.	.	.	.	1
Sena	Sena	np1	Sena	Sena	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Mecca	Mecca	np1	Mecca	Mecca	0
.	.	.	.	.	1
Gumme	Gumme	n1	Gum	gum	0
Arabike	Arabike	np1	Arabike	Arabike	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Zaffo	Zaffo	np1	Zaffo	Zaffo	0
.	.	.	.	.	1
Grana	Grana	np1	Grana	Grana	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Coronto	Coronto	np1	Coronto	Coronto	0
.	.	.	.	.	1
Ladanum	Ladanum	n1	Ladanum	laudanum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
and	and	cc	and	and	0
Candia	Candia	np1	Candia	Candia	0
.	.	.	.	.	1
Lapis	Lapis	np1	Lapis	Lapis	0
lazzudis	lazzudis	fw-la	lazzudis	lazzudis	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Lapis	Lapis	np1	Lapis	Lapis	0
Zudassi	Zudassi	np1	Zudassi	Zudassi	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Zaffetto	Zaffetto	np1	Zaffetto	Zaffetto	0
.	.	.	.	.	1
Lapis	Lapis	np1	Lapis	Lapis	0
Spongii	Spongii	np1	Spongii	Spongii	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
sponges	sponges	n2	sponges	sponge	0
.	.	.	.	.	1
Lapis	Lapis	np1	Lapis	Lapis	0
Haematites	Haematites	np1	Haematites	Haematites	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Almanie	Almanie	np1	Almanie	Almanie	0
.	.	.	.	.	1
Manna	Manna	n1	Manna	manna	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Auripigmentum	Auripigmentum	np1	Auripigmentum	Auripigmentum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
manie	manie	d	many	many	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
.	.	.	.	.	1
Pilatro	Pilatro	np1	Pilatro	Pilatro	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Barbaria	Barbaria	np1	Barbaria	Barbaria	0
.	.	.	.	.	1
Pistaches	Pistaches	n2	Pistaches	pistache	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Doria	Doria	np1	Doria	Doria	0
.	.	.	.	.	1
Worme-seede	Worme-seede	n1	Wormseed	wormseed	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Sumack	Sumack	np1	Sumack	Sumack	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
.	.	.	.	.	1
Sebesten	Sebesten	np1	Sebesten	Sebesten	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
.	.	.	.	.	1
Galbanum	Galbanum	np1	Galbanum	Galbanum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Dente	Dente	np1	Dente	Dente	0
d’Abolio	d’Abolio	np1	d’Abolio	d’Abolio	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Melinde	Melinde	j	Melinde	melinde	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mosambique	Mosambique	np1	Mosambique	Mosambique	0
.	.	.	.	.	1
Folium	Folium	n1	Folium	folium	0
Indicum	Indicum	np1	Indicum	Indicum	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Goa	Goa	zz	Goa	goa	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cochin	Cochin	np1	Cochin	Cochin	0
.	.	.	.	.	1
Diasprum	Diasprum	fw-la	Diasprum	diasprum	0
viride	viride	n1	viride	viride	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
.	.	.	.	.	1
Petra	Petra	np1	Petra	Petra	0
Bezzvar	Bezzvar	np1	Bezzvar	Bezzvar	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Tartaria	Tartaria	np1	Tartaria	Tartary	0
.	.	.	.	.	1
Sarcacolla	Sarcacolla	np1	Sarcacolla	Sarcacolla	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
.	.	.	.	.	1
Melleghete	Melleghete	n1	Melleghete	melleghete	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
West	West	n1	West	west	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
Sugo	Sugo	np1	Sugo	Sugo	0
di	di	dt	di	the	0
Requillicie	Requillicie	n1	Requillicie	requillicie	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Arabia	Arabia	np1	Arabia	Arabia	0
felix	felix	fw-la	felix	felix	0
.	.	.	.	.	1
Chochenillo	Chochenillo	np1	Chochenillo	Chochenillo	0
