Source,Target,Type,Id,Label,timeset,Weight
1,551,Undirected,47115,,,0.481917
1,116,Undirected,47116,,,0.681468
1,484,Undirected,47117,,,0.48508
1,958,Undirected,47118,,,0.498083
1,463,Undirected,47119,,,0.450198
1,374,Undirected,47120,,,0.493045
1,264,Undirected,47121,,,0.646107
1,789,Undirected,47122,,,0.595969
1,118,Undirected,47123,,,0.655024
1,547,Undirected,47124,,,0.476406
1,108,Undirected,47125,,,0.541531
1,980,Undirected,47126,,,0.523489
1,856,Undirected,47127,,,0.438114
1,688,Undirected,47128,,,0.548551
1,916,Undirected,47129,,,0.495774
1,998,Undirected,47130,,,0.48264
1,939,Undirected,47131,,,0.564998
1,689,Undirected,47132,,,0.553204
1,202,Undirected,47133,,,0.622094
1,510,Undirected,47134,,,0.545616
2,228,Undirected,47135,,,0.447425
2,258,Undirected,47136,,,0.46176
2,217,Undirected,47137,,,0.655452
2,353,Undirected,47138,,,0.525612
2,433,Undirected,47139,,,0.520558
2,457,Undirected,47140,,,0.676018
2,514,Undirected,47141,,,0.618615
2,541,Undirected,47142,,,0.498163
2,141,Undirected,47143,,,0.440895
2,265,Undirected,47144,,,0.55225
2,577,Undirected,47145,,,0.47431
2,7,Undirected,47146,,,0.721544
2,235,Undirected,47147,,,0.710433
2,4,Undirected,47148,,,0.706318
2,96,Undirected,47149,,,0.703563
2,8,Undirected,47150,,,0.701355
2,67,Undirected,47151,,,0.698111
2,544,Undirected,47152,,,0.691574
2,6,Undirected,47153,,,0.684228
2,143,Undirected,47154,,,0.682579
2,618,Undirected,47155,,,0.601897
2,627,Undirected,47156,,,0.644218
2,362,Undirected,47157,,,0.580622
2,645,Undirected,47158,,,0.433605
2,199,Undirected,47159,,,0.583681
2,524,Undirected,47160,,,0.48156
2,719,Undirected,47161,,,0.470457
2,162,Undirected,47162,,,0.563
2,537,Undirected,47163,,,0.58054
2,797,Undirected,47164,,,0.468857
2,253,Undirected,47166,,,0.59888
2,377,Undirected,47167,,,0.449521
2,854,Undirected,47168,,,0.481181
2,857,Undirected,47169,,,0.460037
