Ad	Ad	fw-la	Ad	ad	0
Thamesin	Thamesin	np1	Thamesin	Thamesin	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
31	31	crd	31	31	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
'	'	'	'	'	0
Nova	Nova	np1	Nova	Nova	0
Albion	Albion	np1	Albion	Albion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
vhi	vhi	fw-la	vhi	vhi	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
33	33	crd	33	33	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	1
